hash;Avast;AVG;BitDefender;ESET-NOD32;FireEye;Kaspersky;McAfee;Microsoft;Symantec;TrendMicro;detections;Neural Network;Malware
c4e75102be806dfb701f6913d27c1bd7;1;1;1;1;1;1;1;1;1;1;10;1;1
948dc49c28886bc4a371176123724bb1;1;1;1;1;1;1;1;1;1;1;10;1;1
0cfa35908c083fbddd34ebaa1d60f20b;1;1;1;1;1;1;1;1;1;1;10;1;1
df32f99868ae7a3d6ae8322795f309f1;0;0;0;1;1;0;1;1;0;0;4;1;1
aa488760f74cdffa5065895a9d4e16c9;0;0;0;1;1;1;1;1;0;0;5;1;1
bbc3b10b87eb81003f7756ce4a7747bb;1;1;1;1;1;1;1;1;1;1;10;1;1
d29fd374ffb5bd95937ed1084caefa8c;1;1;1;1;1;1;1;1;1;1;10;1;1
54598a7456b88ad60ccf41c3c0d8769a;1;1;1;1;1;1;1;1;1;1;10;1;1
33539b12a10d0f36f577374d0d570b79;1;1;1;1;1;1;1;1;1;0;9;1;1
aab3049ae60aa980776490d621160de2;1;1;1;1;1;1;1;0;1;1;9;1;1
29064fb18f50288094c9688fb4041c42;1;1;1;1;1;1;1;1;1;1;10;1;1
646d45a6e7958409272a969297d775b6;1;1;1;1;1;0;1;1;1;0;8;1;1
9f5ed9272779691d7990a1a5aa0709fe;1;1;1;1;1;0;1;1;1;0;8;1;1
d6980eac938fd89f402a14d61b2f44b6;1;1;1;1;1;1;1;1;1;1;10;1;1
10c1be550b1358d30d39e46a3efbdc2c;1;1;1;1;1;1;1;1;1;1;10;1;1
8b53885b0e382219acbc8ac4d72cd0bc;1;1;1;1;0;1;1;1;1;1;9;1;1
02db4001360890ce52f8db30771790ea;0;1;1;1;1;1;1;1;1;0;8;1;1
df2db4f9f94ff52505e05dc746a8d121;1;1;1;1;1;1;1;1;1;1;10;1;1
40927a683b5c7807a0907331067236ac;1;1;1;1;1;1;1;1;1;1;10;1;1
7c16338ec693eb53fe0de34622c0ca2b;1;1;1;1;1;1;1;1;1;1;10;1;1
30e509ce7334444a35e4c9134bbf5c26;1;1;1;1;1;1;1;1;1;1;10;1;1
e66cf867f482d2e6b3ae457fe86bf21d;1;1;1;1;1;1;1;1;1;1;10;1;1
e7a7bb922d5be4368c8797458d72fc59;1;1;1;1;1;1;1;1;1;1;10;1;1
b1de163fbb286caf2f5d98edf5cea052;0;0;0;1;1;0;0;1;0;0;3;1;1
c6ceb0791c7f4c384ccfa2ce64a49de9;1;1;1;1;1;1;1;1;1;0;9;1;1
d120d6db5e032cb0a1f71fac2080adc2;1;1;1;1;1;1;1;1;1;1;10;1;1
d01ebe2d4344efa13475e7d318dc72e0;1;1;1;1;1;1;1;1;1;1;10;1;1
01eba0683aafe1d17db6a40844f53053;1;1;1;1;1;1;1;1;1;1;10;1;1
9c21e23a91e0488d8df5e65b5d29a2fe;1;1;1;1;1;1;1;1;1;1;10;1;1
5a27d64f2afc5755986ed501f2561f00;1;1;1;1;1;1;1;1;1;1;10;1;1
1b56078ec46b1c156e2516536d6f3f9c;1;1;1;1;1;1;1;1;1;1;10;1;1
055bbfdb12bc2102caf4334bbe8c8dd1;1;1;1;1;1;1;1;1;1;1;10;1;1
e6e53c442ce4e6b0d865e4bd6433f8b4;1;1;1;1;1;1;1;1;1;1;10;1;1
a90e52203f8c3e6a1b5eb4e24f9b726e;1;1;1;1;1;1;1;1;1;1;10;1;1
568042d040ed7fbbb802d847ef614a4d;1;1;1;1;1;0;1;1;1;1;9;1;1
c9d52f52381ad40bda53af5310091a7f;1;1;1;1;1;1;1;1;1;1;10;1;1
01f6d86a3e0050cb116ad4f16f12a420;1;1;1;1;1;1;1;1;1;1;10;1;1
713b3ec26323a5156e0c484b32498c7a;1;1;1;1;1;1;1;1;1;1;10;1;1
b6ca1885260050f8a268b4bd066d6d9d;1;1;1;1;1;1;1;1;1;1;10;1;1
ca465d2adfa30494e25018153d84dee4;1;1;1;1;1;1;1;1;1;1;10;1;1
a251ec04fc4b52eee3edb30c1495dfef;1;1;1;1;1;1;1;1;1;1;10;1;1
c300a4e31aba499c460b6c2ced1c4edf;1;1;1;1;1;1;1;1;1;1;10;1;1
6a2a8086b34fbd0dfe9dd3dc433d77d6;1;1;1;1;1;1;1;1;1;1;10;1;1
f324b7e1447b83d2afbc3cd7ed0484c1;1;1;1;1;1;1;1;1;1;1;10;1;1
15855a0dda0fa9180fdad46c7c7a446a;1;1;1;1;1;1;1;1;1;0;9;1;1
f082e5164e8e7c8992eba4232d72b46f;1;1;1;1;1;1;1;1;1;1;10;1;1
f607f0ce8f8d6b58da6e8fe681bb8674;1;1;1;1;1;1;1;1;1;1;10;1;1
0adfa647a523f3ffd47fca65b3830012;1;1;1;1;1;1;1;1;1;1;10;1;1
17147fd6611dff589daccd229c4207e7;1;1;1;1;1;1;1;1;1;1;10;1;1
cff712f9bacf5619106c5f0b6fed4e16;1;1;1;1;1;1;1;1;1;1;10;1;1
72133734e0c3a15de89f4cd95e6db4a3;1;1;1;1;1;1;1;1;1;1;10;1;1
943270627e8eb4b1567dc76a6a9196fc;1;1;1;1;1;1;1;1;1;1;10;1;1
61293644c9fbc2dfe62a1c3e59fcbcdd;1;1;1;1;1;1;1;0;1;1;9;1;1
2339e18e251bd2a064cf357761f3dd20;1;1;1;1;1;1;1;1;1;1;10;1;1
2eeed5e6e57cc662ee4e3823cbf4adf1;1;1;1;1;1;1;1;1;1;1;10;1;1
c6c7b95620352a1df10b834d94c6c03d;1;1;1;1;1;1;1;1;1;1;10;1;1
caee0aa89f6ffdad4580d6b5d15f55e9;1;1;1;1;1;1;1;1;1;0;9;1;1
61780c25be41f62f4431c32213bd7d86;1;1;1;1;1;1;1;1;1;1;10;1;1
daba3c7cff7a74e0ce7361af687b86c5;1;1;1;1;1;1;1;1;1;1;10;1;1
37ac0471935807b748c51b463b8150ea;1;1;1;1;1;1;1;1;1;1;10;1;1
87de5db071f313cc111754e5853ddb2d;1;1;1;1;1;1;1;1;1;1;10;1;1
2d6f8dccebfdc15b53997250e1f73b80;1;1;1;1;1;1;1;1;1;1;10;1;1
8a26d6812aece27f98e9985488d457b0;1;1;1;1;1;1;1;1;1;1;10;1;1
e7f8d376a403b5301c3b481b17590181;1;1;1;1;1;1;1;1;1;1;10;1;1
885900056abb5f0a362211a230daa1a4;1;1;1;1;1;1;1;1;1;1;10;1;1
0c745a8bed9b15ae636a3a4cdfd1ebb0;1;1;1;1;1;1;1;1;1;1;10;1;1
3ffe0ca99c2f875d4824a468fc0eab80;1;1;1;1;1;1;1;1;1;1;10;1;1
ece73e7a026e1e3a2c73c1e7d9c66547;1;1;1;1;1;1;1;1;1;1;10;1;1
7b5c6fc1d598e04e6ad91d5bea744224;1;1;1;1;1;1;1;1;1;1;10;1;1
9b859410e9e81f379a232e650ac394ac;1;1;1;1;1;1;1;1;1;1;10;1;1
e401b2cd8b618c656c961d394305b6ac;1;1;0;1;1;1;1;1;1;1;9;1;1
d44186f7b95ba487fc1c54a05d68f04f;1;1;1;1;1;1;1;1;1;1;10;1;1
af0ae00444671983be79879abeb678ee;1;1;1;1;1;1;1;1;1;1;10;1;1
5cc4644ce55627f4bfd2c021063f3241;1;1;1;1;1;1;1;1;1;1;10;1;1
01e7108a37342ad955a4346fc0b3f21c;1;1;1;1;1;1;1;1;1;1;10;1;1
d50bea3fa285fa54247368603e5de792;0;1;1;1;1;1;1;1;1;1;9;1;1
9270fc9507071876759925004f046973;1;1;1;1;1;1;1;1;1;1;10;1;1
8668e9b359ae3a6c1e09b797591cb64e;1;1;1;1;1;1;1;1;1;1;10;1;1
8a96a8b19198af574b4904207df97b40;1;1;1;1;1;1;1;1;1;1;10;1;1
18a279d1c9a0dce2b813171d199c56d7;1;1;1;1;1;1;1;1;1;1;10;1;1
81ac72c9158fb08aa5345444b6c29bc5;0;0;0;1;1;0;1;1;0;0;4;1;1
4302d6701fb63bcedfa03978e71df2a8;1;1;1;1;1;1;1;1;1;0;9;1;1
720bc8d73e7872b23183903e3918c7d8;1;1;1;1;1;1;1;1;1;1;10;1;1
964642c6775c09dca9211442797c7b9c;1;1;1;1;1;1;1;1;1;1;10;0;1
b4d7fe9f8770b965e34715e6dde96dc6;1;1;1;1;1;1;1;1;1;1;10;1;1
694515cebc637b78ef56b8f23c60b9a3;0;0;1;1;1;1;1;1;1;0;7;1;1
58a15ade1d7192dc7c4a7af71368aba2;1;1;1;1;1;1;1;1;1;1;10;1;1
6ae1da8abe6ef9817a617acec71bab22;1;1;1;1;1;1;1;1;1;1;10;1;1
26d81aa5d41702b78c61da8ae8261eb9;0;0;1;1;1;1;1;1;1;0;7;1;1
f4153511fd79fc1031ea918450ef68a0;1;1;1;1;1;1;1;1;1;1;10;1;1
70dfedb503dc10c7891eadd6beeb101e;1;1;1;1;1;1;1;1;1;1;10;1;1
1669381ba6b080eb0fef3e994728cf47;1;1;1;1;1;0;1;1;1;1;9;1;1
d04fa21e4765cf4ac9698f9beee2fde2;1;1;1;1;1;1;1;1;1;0;9;1;1
a4975ac7f40ccf4d1803e8edb97dce9e;1;1;1;1;1;1;1;1;1;1;10;1;1
c664e5778bd251d8649c4369bf3ca0ef;1;1;1;1;1;1;1;1;1;1;10;1;1
e832e26d28d3901fdd0e694f04acd25a;1;1;1;1;1;1;1;1;1;1;10;1;1
2d7cb302852415443f54722772d98aaa;1;1;1;1;1;1;1;1;1;1;10;1;1
fe581cd6100e9f25ac1b69ca857bda04;1;1;1;1;1;1;1;1;1;1;10;1;1
b45914a5ac009191ba1a63eb4242061f;1;1;1;1;1;1;1;1;1;1;10;1;1
cca9fbb11c194fc53015185b741887a8;1;1;1;1;1;1;1;1;1;1;10;1;1
